game_slug,share_code,make,model,year,car_class,pi_rating,tune_type,drivetrain,track,creator_gamertag,title,description,source_url
fh5,910665624,Mercedes-Benz,300 SL Coupé,1954,B,700,road,AWD,The Trial (Road) - Crosstown Classics,Saeenu,Seasonal Road B,"AWD, 3.2L BMW i6, Full Aero, Stock Rims. Strong AWD,01:04.298 Estadio Circuit&01:30.038 Plaza Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,848194929,Lamborghini,Miura P400,1967,B,700,road,AWD,,Saeenu,Danger Sign Road,"AWD, Stock Engine, No Aero, Stock Rims",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,720729690,Lamborghini,Miura P400,1967,B,700,road,RWD,,LogikJ,Road Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. RWD Purist Meta,01:03.355 Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,886801060,Ferrari,250 GT Berlinetta Lusso,1962,B,700,road,RWD,,furtiveee,Purist 8.9 HMC,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. RWD Purist Meta, 01:08.9xx Horizon Mexico Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,119923691,Mercedes-Benz,300 SL Coupé,1954,B,700,road,RWD,,Sa1monBark,Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Very Strong RWD, mid ~01:03.xxx Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,123350765,Alfa Romeo,Giulia Sprint GTA Stradale,1965,B,700,road,RWD,,K1Z Bard,Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Very Strong RWD,01:09.503 Horizon Mexico Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,402745888,Ferrari,250 California,1957,B,700,road,RWD,,EBTe Rourke,Purist CA,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Very Strong RWD.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,651451232,Mercedes-Benz,280 SL,1967,B,700,road,RWD,,Sa1monBark,Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Strong RWD, low ~01:04.xxx Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,857176090,Toyota,2000GT,1969,B,700,road,RWD,,K1Z Bala,Purist,"RWD, Stock Engine, No Aero, Stock Rims, Rally Tires, Purist. Manual & Clutch Recommended. Strong RWD, low ~01:04.xxx Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,834249168,Aston Martin,DB5,1964,B,700,road,RWD,,LogikJ,Road Purist,"RWD, Stock Engine, No Aero + Removed Bumpers, Stock Rims, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,457362669,Porsche,356 A 1600 Super,1959,B,700,road,RWD,,LogikJ,Road Purist,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Strong RWD, 01:04.3xx Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,174672106,Jaguar,E-type,1961,B,700,road,RWD,,DiogoSilva2004,Purist,"RWD, Stock Engine w/ Anti-Lag Turbo, No Aero, Stock Rims, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,133477760,Bentley,8 Litre,1930,B,700,road,RWD,,Wilfredo OvO,高贵的二档大后,"RWD, 7.0L Lamborghini V12 w/ Anti-Lag Turbos, Full Aero, Drift Tires, Dry Only. Manual & Clutch Recommended. RWD Powerbuild.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,321069413,Mercedes-Benz,AMG CLK GTR,1998,S1,900,road,AWD,EventLab (Road) - Waterfall GP,coach lbn,Stock Look V2,"AWD, Stock Engine, Stock Aero, Rally Tires. Strong AWD,00:55.957 Horizon Mexico Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
